C,class_weight,max_iter,multi_class,penalty,solver,l1_ratio,accuracy,F1_class_1,recall_class_1,precision_class_1,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,roc_auc,matthews_corrcoef,Cust_metric
0.1,,10000,ovr,l1,liblinear,,0.8446754664583525,0.4504028208117304,0.3468963856568652,0.6420053414868764,0.7544952508666777,0.8446754664583525,0.8257071675946156,0.6517116495935728,0.8446754664583525,0.8446754664583525,0.6799800184390877,0.8446754664583525,0.8253142484112357,0.8494212970832954,0.3929824234892663,0.6340645789136162
0.1,,10000,ovr,l1,saga,,0.8447306104554603,0.4505717806154162,0.3470108815529558,0.6423101095057627,0.7546602927708337,0.8447306104554603,0.8257837551205647,0.6517898012549087,0.8447306104554603,0.8447306104554603,0.6800808809619623,0.8447306104554603,0.8253720017682958,0.8494190761396188,0.3932100938210476,0.6341790608926531
0.1,,100000,ovr,l1,liblinear,,0.8446754664583525,0.4504028208117304,0.3468963856568652,0.6420053414868764,0.7544952508666777,0.8446754664583525,0.8257071675946156,0.6517116495935728,0.8446754664583525,0.8446754664583525,0.6799800184390877,0.8446754664583525,0.8253142484112357,0.8494212970832954,0.3929824234892663,0.6340645789136162
0.1,,100000,ovr,l1,saga,,0.8447306104554603,0.4505717806154162,0.3470108815529558,0.6423101095057627,0.7546602927708337,0.8447306104554603,0.8257837551205647,0.6517898012549087,0.8447306104554603,0.8447306104554603,0.6800808809619623,0.8447306104554603,0.8253720017682958,0.8494190761396188,0.3932100938210476,0.6341790608926531
1.0,balanced,1000,ovr,l1,liblinear,,0.7550456665197132,0.5439195991322393,0.7961099889643983,0.4130685713408191,0.6775976867479755,0.7550456665197132,0.8450582835145282,0.770964232146573,0.7550456665197132,0.7550456665197132,0.6882384227437773,0.7550456665197132,0.7795996933530756,0.8500078985774596,0.4387373650544087,0.6593746580214698
1.0,balanced,1000,ovr,l1,saga,,0.7550692995874518,0.543948009762905,0.7961242994151624,0.413097475568148,0.6776149867808466,0.7550692995874518,0.8450682374673288,0.7709842511143719,0.7550692995874518,0.7550692995874518,0.6882617579717557,0.7550692995874518,0.779619815689285,0.8500017630881697,0.4387749422465832,0.6593990083299855
1.0,balanced,10000,ovr,l1,liblinear,,0.7550456665197132,0.5439195991322393,0.7961099889643983,0.4130685713408191,0.6775976867479755,0.7550456665197132,0.8450582835145282,0.770964232146573,0.7550456665197132,0.7550456665197132,0.6882384227437773,0.7550456665197132,0.7795996933530756,0.8500078985774596,0.4387373650544087,0.6593746580214698
1.0,balanced,10000,ovr,l1,saga,,0.7550692995874518,0.543948009762905,0.7961242994151624,0.413097475568148,0.6776149867808466,0.7550692995874518,0.8450682374673288,0.7709842511143719,0.7550692995874518,0.7550692995874518,0.6882617579717557,0.7550692995874518,0.779619815689285,0.8500017630881697,0.4387749422465832,0.6593990083299855
1.0,balanced,100000,ovr,l1,liblinear,,0.7550456665197132,0.5439195991322393,0.7961099889643983,0.4130685713408191,0.6775976867479755,0.7550456665197132,0.8450582835145282,0.770964232146573,0.7550456665197132,0.7550456665197132,0.6882384227437773,0.7550456665197132,0.7795996933530756,0.8500078985774596,0.4387373650544087,0.6593746580214698
1.0,balanced,100000,ovr,l1,saga,,0.7550692995874518,0.543948009762905,0.7961242994151624,0.413097475568148,0.6776149867808466,0.7550692995874518,0.8450682374673288,0.7709842511143719,0.7550692995874518,0.7550692995874518,0.6882617579717557,0.7550692995874518,0.779619815689285,0.8500017630881697,0.4387749422465832,0.6593990083299855
1.0,,1000,ovr,l1,liblinear,,0.8446833448991932,0.4533334644204638,0.3510039661787907,0.6399435143544757,0.7537723909868997,0.8446833448991932,0.8258319431443043,0.6533087767039879,0.8446833448991932,0.8446833448991932,0.6814080720554073,0.8446833448991932,0.825791083371015,0.8497376325700795,0.3944837299676946,0.6357931505284188
1.0,,1000,ovr,l1,saga,,0.8447148556423875,0.4533634915548792,0.350975342819267,0.6401575787474741,0.7538795959167311,0.8447148556423875,0.8258715004356013,0.6533169765889687,0.8447148556423875,0.8447148556423875,0.6814333785298271,0.8447148556423875,0.825813401283176,0.8497237000656335,0.3945776728871153,0.6358194011348375
1.0,,10000,ovr,l1,liblinear,,0.8446833448991932,0.4533334644204638,0.3510039661787907,0.6399435143544757,0.7537723909868997,0.8446833448991932,0.8258319431443043,0.6533087767039879,0.8446833448991932,0.8446833448991932,0.6814080720554073,0.8446833448991932,0.825791083371015,0.8497376325700795,0.3944837299676946,0.6357931505284188
1.0,,10000,ovr,l1,saga,,0.8447148556423875,0.4533634915548792,0.350975342819267,0.6401575787474741,0.7538795959167311,0.8447148556423875,0.8258715004356013,0.6533169765889687,0.8447148556423875,0.8447148556423875,0.6814333785298271,0.8447148556423875,0.825813401283176,0.8497237000656335,0.3945776728871153,0.6358194011348375
1.0,,100000,ovr,l1,liblinear,,0.8446833448991932,0.4533334644204638,0.3510039661787907,0.6399435143544757,0.7537723909868997,0.8446833448991932,0.8258319431443043,0.6533087767039879,0.8446833448991932,0.8446833448991932,0.6814080720554073,0.8446833448991932,0.825791083371015,0.8497376325700795,0.3944837299676946,0.6357931505284188
1.0,,100000,ovr,l1,saga,,0.8447148556423875,0.4533634915548792,0.350975342819267,0.6401575787474741,0.7538795959167311,0.8447148556423875,0.8258715004356013,0.6533169765889687,0.8447148556423875,0.8447148556423875,0.6814333785298271,0.8447148556423875,0.825813401283176,0.8497237000656335,0.3945776728871153,0.6358194011348375
10.0,balanced,1000,ovr,l1,liblinear,,0.7551139398311109,0.5440378448031277,0.7962674162127809,0.4131625496638527,0.6776674737934852,0.7551139398311109,0.8451127562882382,0.7710670653265792,0.7551139398311109,0.7551139398311109,0.6883214822677468,0.7551139398311109,0.7796604786323696,0.8500050898537704,0.4389068208799365,0.659464754774823
10.0,balanced,1000,ovr,l1,saga,,0.7550981843767693,0.5440084665136128,0.7962244799444975,0.4131402222917986,0.6776502240358272,0.7550981843767693,0.8450987209742643,0.7710407732657613,0.7550981843767693,0.7550981843767693,0.6883014110643334,0.7550981843767692,0.7796462993135614,0.8500019141452185,0.4388642282622044,0.6594428221541894
10.0,balanced,10000,ovr,l1,liblinear,,0.7551139398311109,0.5440378448031277,0.7962674162127809,0.4131625496638527,0.6776674737934852,0.7551139398311109,0.8451127562882382,0.7710670653265792,0.7551139398311109,0.7551139398311109,0.6883214822677468,0.7551139398311109,0.7796604786323696,0.8500050898537704,0.4389068208799365,0.659464754774823
10.0,balanced,10000,ovr,l1,saga,,0.7550981843767693,0.5440084665136128,0.7962244799444975,0.4131402222917986,0.6776502240358272,0.7550981843767693,0.8450987209742643,0.7710407732657613,0.7550981843767693,0.7550981843767693,0.6883014110643334,0.7550981843767692,0.7796462993135614,0.8500019141452185,0.4388642282622044,0.6594428221541894
10.0,balanced,100000,ovr,l1,liblinear,,0.7551139398311109,0.5440378448031277,0.7962674162127809,0.4131625496638527,0.6776674737934852,0.7551139398311109,0.8451127562882382,0.7710670653265792,0.7551139398311109,0.7551139398311109,0.6883214822677468,0.7551139398311109,0.7796604786323696,0.8500050898537704,0.4389068208799365,0.659464754774823
10.0,balanced,100000,ovr,l1,saga,,0.7550981843767693,0.5440084665136128,0.7962244799444975,0.4131402222917986,0.6776502240358272,0.7550981843767693,0.8450987209742643,0.7710407732657613,0.7550981843767693,0.7550981843767693,0.6883014110643334,0.7550981843767692,0.7796462993135614,0.8500019141452185,0.4388642282622044,0.6594428221541894
10.0,,1000,ovr,l1,liblinear,,0.844714855745818,0.4536363228623086,0.3513617704628154,0.6399641101000316,0.7538118465223252,0.844714855745818,0.8258833377264597,0.6534667752878431,0.844714855745818,0.844714855745818,0.6815660441572201,0.844714855745818,0.8258573345722514,0.8497349231639476,0.3947173961677542,0.6359800998982378
10.0,,1000,ovr,l1,saga,,0.8447122297712552,0.4536621385015223,0.3514047079600966,0.639924127010511,0.7537948891503796,0.8447122297712552,0.8258809570821893,0.6534818121807887,0.8447122297712552,0.8447122297712552,0.6815777065541789,0.8447122297712552,0.8258600370563137,0.8497243410885211,0.3947235759886141,0.6359945929436475
10.0,,10000,ovr,l1,liblinear,,0.844714855745818,0.4536363228623086,0.3513617704628154,0.6399641101000316,0.7538118465223252,0.844714855745818,0.8258833377264597,0.6534667752878431,0.844714855745818,0.844714855745818,0.6815660441572201,0.844714855745818,0.8258573345722514,0.8497349231639476,0.3947173961677542,0.6359800998982378
10.0,,10000,ovr,l1,saga,,0.8447122297712552,0.4536621385015223,0.3514047079600966,0.639924127010511,0.7537948891503796,0.8447122297712552,0.8258809570821893,0.6534818121807887,0.8447122297712552,0.8447122297712552,0.6815777065541789,0.8447122297712552,0.8258600370563137,0.8497243410885211,0.3947235759886141,0.6359945929436475
10.0,,100000,ovr,l1,liblinear,,0.844714855745818,0.4536363228623086,0.3513617704628154,0.6399641101000316,0.7538118465223252,0.844714855745818,0.8258833377264597,0.6534667752878431,0.844714855745818,0.844714855745818,0.6815660441572201,0.844714855745818,0.8258573345722514,0.8497349231639476,0.3947173961677542,0.6359800998982378
10.0,,100000,ovr,l1,saga,,0.8447122297712552,0.4536621385015223,0.3514047079600966,0.639924127010511,0.7537948891503796,0.8447122297712552,0.8258809570821893,0.6534818121807887,0.8447122297712552,0.8447122297712552,0.6815777065541789,0.8447122297712552,0.8258600370563137,0.8497243410885211,0.3947235759886141,0.6359945929436475
0.001,balanced,1000,ovr,l2,newton-cg,,0.7490481129746254,0.5336341876573193,0.7825277968431187,0.4048632075806941,0.6715188782120253,0.7490481129746254,0.8403256960692883,0.7620264970301357,0.7490481129746254,0.7490481129746254,0.6809861787150452,0.7490481129746254,0.7742676022329474,0.8408518709737228,0.423992805956908,0.6515157805035
0.001,balanced,1000,ovr,l2,lbfgs,,0.7490586165625853,0.5336445874822405,0.7825277962286199,0.4048751497451224,0.6715253484262256,0.7490586165625853,0.8403287022309581,0.7620329285785813,0.7490586165625853,0.7490586165625853,0.6809955930196782,0.7490586165625853,0.7742763926916133,0.840851664261915,0.4240060090140023,0.6515253919121907
0.001,balanced,1000,ovr,l2,sag,,0.749055990670767,0.5336419799520439,0.7825277968431187,0.4048721667288351,0.6715237360232713,0.749055990670767,0.8403279575008881,0.7620313209257853,0.749055990670767,0.749055990670767,0.6809932346357214,0.7490559906707669,0.7742741919869628,0.8408518233352296,0.4240027139196644,0.6515229836989859
0.001,balanced,1000,ovr,l2,saga,,0.7490533647582623,0.5336393710632145,0.7825277968431187,0.4048691597298846,0.6715221067661399,0.7490533647582623,0.8403272004300854,0.7620297129502265,0.7490533647582623,0.7490533647582623,0.6809908787188883,0.7490533647582623,0.7742719962153135,0.8408518782912996,0.4239993994888809,0.6515205771877535
