criterion,max_depth,max_features,min_samples_leaf,min_samples_split,random_state,splitter,score
gini,12,sqrt,16,4,128,best,0.020658856830767253
gini,12,sqrt,16,4,128,random,0.023685710821113797
gini,12,sqrt,16,8,128,best,0.020658856830767253
gini,12,sqrt,16,8,128,random,0.023685710821113797
gini,12,sqrt,16,16,128,best,0.020658856830767253
gini,12,sqrt,16,16,128,random,0.023685710821113797
gini,12,sqrt,16,32,128,best,0.020658856830767253
gini,12,sqrt,16,32,128,random,0.023685710821113797
gini,12,sqrt,16,64,128,best,0.01781693226199655
gini,12,sqrt,16,64,128,random,0.014291103383994544
gini,12,sqrt,16,128,128,best,0.01715037650250743
gini,12,sqrt,16,128,128,random,0.026018975144261797
gini,12,sqrt,16,256,128,best,0.0
gini,12,sqrt,16,256,128,random,0.024022860810207436
gini,12,sqrt,32,1,128,best,0.005890164236418509
gini,12,sqrt,32,1,128,random,0.013503582948027393
gini,12,sqrt,32,2,128,best,0.005890164236418509
gini,12,sqrt,32,2,128,random,0.013503582948027393
gini,12,sqrt,32,4,128,best,0.005890164236418509
gini,12,sqrt,32,4,128,random,0.013503582948027393
gini,12,sqrt,32,8,128,best,0.005890164236418509
gini,12,sqrt,32,8,128,random,0.013503582948027393
gini,12,sqrt,32,16,128,best,0.005890164236418509
gini,12,sqrt,32,16,128,random,0.013503582948027393
gini,12,sqrt,32,32,128,best,0.005890164236418509
gini,12,sqrt,32,32,128,random,0.013503582948027393
gini,12,sqrt,32,64,128,best,0.005890164236418509
gini,12,sqrt,32,64,128,random,0.013503582948027393
gini,12,sqrt,32,128,128,best,0.0015808491418247514
gini,12,sqrt,32,128,128,random,0.022860776042949543
gini,12,sqrt,32,256,128,best,0.0015803138051698837
gini,12,sqrt,32,256,128,random,0.01141499990144966
gini,12,sqrt,64,1,128,best,0.0
gini,12,sqrt,64,1,128,random,0.005617346365576901
gini,12,sqrt,64,2,128,best,0.0
gini,12,sqrt,64,2,128,random,0.005617346365576901
gini,12,sqrt,64,4,128,best,0.0
gini,12,sqrt,64,4,128,random,0.005617346365576901
gini,12,sqrt,64,8,128,best,0.0
gini,12,sqrt,64,8,128,random,0.005617346365576901
gini,12,sqrt,64,16,128,best,0.0
gini,12,sqrt,64,16,128,random,0.005617346365576901
gini,12,sqrt,64,32,128,best,0.0
gini,12,sqrt,64,32,128,random,0.005617346365576901
gini,12,sqrt,64,64,128,best,0.0
gini,12,sqrt,64,64,128,random,0.005617346365576901
gini,12,sqrt,64,128,128,best,0.0
gini,12,sqrt,64,128,128,random,0.005617346365576901
gini,12,sqrt,64,256,128,best,0.004070556309362279
gini,12,sqrt,64,256,128,random,0.0027155465037338763
gini,12,sqrt,128,1,128,best,0.0
gini,12,sqrt,128,1,128,random,0.0
gini,12,sqrt,128,2,128,best,0.0
gini,12,sqrt,128,2,128,random,0.0
gini,12,sqrt,128,4,128,best,0.0
gini,12,sqrt,128,4,128,random,0.0
gini,12,sqrt,128,8,128,best,0.0
gini,12,sqrt,128,8,128,random,0.0
gini,12,sqrt,128,16,128,best,0.0
gini,12,sqrt,128,16,128,random,0.0
gini,12,sqrt,128,32,128,best,0.0
gini,12,sqrt,128,32,128,random,0.0
gini,12,sqrt,128,64,128,best,0.0
gini,12,sqrt,128,64,128,random,0.0
gini,12,sqrt,128,128,128,best,0.0
gini,12,sqrt,128,128,128,random,0.0
gini,12,sqrt,128,256,128,best,0.0
gini,12,sqrt,128,256,128,random,0.0
gini,12,sqrt,256,1,128,best,0.0
gini,12,sqrt,256,1,128,random,0.0
gini,12,sqrt,256,2,128,best,0.0
gini,12,sqrt,256,2,128,random,0.0
gini,12,sqrt,256,4,128,best,0.0
gini,12,sqrt,256,4,128,random,0.0
gini,12,sqrt,256,8,128,best,0.0
gini,12,sqrt,256,8,128,random,0.0
gini,12,sqrt,256,16,128,best,0.0
gini,12,sqrt,256,16,128,random,0.0
gini,12,sqrt,256,32,128,best,0.0
gini,12,sqrt,256,32,128,random,0.0
gini,12,sqrt,256,64,128,best,0.0
gini,12,sqrt,256,64,128,random,0.0
gini,12,sqrt,256,128,128,best,0.0
gini,12,sqrt,256,128,128,random,0.0
gini,12,sqrt,256,256,128,best,0.0
gini,12,sqrt,256,256,128,random,0.0
gini,12,log2,1,1,128,best,0.011950939339425712
gini,12,log2,1,1,128,random,0.013536173305360994
gini,12,log2,1,2,128,best,0.011950939339425712
gini,12,log2,1,2,128,random,0.013536173305360994
gini,12,log2,1,4,128,best,0.009808874638249341
gini,12,log2,1,4,128,random,0.012714197056748111
gini,12,log2,1,8,128,best,0.006268815452508226
gini,12,log2,1,8,128,random,0.01108984499051102
gini,12,log2,1,16,128,best,0.02000108875731892
gini,12,log2,1,16,128,random,0.012384796023421836
gini,12,log2,1,32,128,best,0.013740394467281087
gini,12,log2,1,32,128,random,0.010041243459716284
gini,12,log2,1,64,128,best,0.007209659867871286
gini,12,log2,1,64,128,random,0.005874301561714983
gini,12,log2,1,128,128,best,0.0038316795920241946
gini,12,log2,1,128,128,random,0.007364532875171913
gini,12,log2,1,256,128,best,0.001816469658248709
gini,12,log2,1,256,128,random,0.0004569339730408956
gini,12,log2,2,1,128,best,0.017807717636781073
gini,12,log2,2,1,128,random,0.026637577293927392
gini,12,log2,2,2,128,best,0.017807717636781073
gini,12,log2,2,2,128,random,0.026637577293927392
gini,12,log2,2,4,128,best,0.017807717636781073
gini,12,log2,2,4,128,random,0.026637577293927392
gini,12,log2,2,8,128,best,0.016734425980422272
gini,12,log2,2,8,128,random,0.010667844198078225
gini,12,log2,2,16,128,best,0.01981035749892077
gini,12,log2,2,16,128,random,0.016206605531092027
gini,12,log2,2,32,128,best,0.01911293534320693
gini,12,log2,2,32,128,random,0.014640776883110737
gini,12,log2,2,64,128,best,0.006080042212496327
