splitter,random_state,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,MCC,F1,Cust_metric,F1_class_2
random,129,82,91,sqrt,10,entropy,0.3312796563473255,0.3916630118206365,0.1313654741199985,0.005818507329081347
random,193,72,1,sqrt,28,gini,0.3809530517593627,0.4402137676005635,0.19337141955421333,0.07197963164685739
random,1,2,61,log2,4,gini,0.07761652432527884,0.2464560393068418,0.015906559373620597,0.0
best,193,52,71,sqrt,12,gini,0.3645870572231879,0.40112797365596603,0.12680371883489158,0.00905677048818202
best,193,32,81,sqrt,,gini,0.388662603246132,0.4237767037849441,0.14877821765244448,0.005577867023650156
best,193,12,31,sqrt,6,entropy,0.27690585770355264,0.332568577736517,0.06803417194446032,0.0
best,193,42,21,log2,22,entropy,0.33855203728911515,0.40155000043968103,0.14173018569761678,0.012563483495208192
random,193,2,41,log2,18,entropy,0.3519834272921693,0.4015046884910549,0.13208515014594238,0.0015932627745533173
best,193,82,61,sqrt,26,entropy,0.38350498179771386,0.4243445945396715,0.1542232854655372,0.012740608941109332
random,1,22,41,log2,30,entropy,0.3463881638857915,0.4059383529526331,0.14481509440258256,0.0031837362960565898
best,1,22,51,log2,10,entropy,0.25474472169325,0.34651125502345864,0.10787212959802643,0.002497729336966394
best,193,72,51,sqrt,,entropy,0.39182020422821684,0.43107299257769877,0.16161131357747202,0.016171857726255647
random,1,42,61,sqrt,6,entropy,0.27733134767692963,0.351260586539121,0.11335593997768367,0.0
random,65,82,31,log2,12,entropy,0.30790793196653227,0.37040115835115756,0.10138436893842025,0.0
random,1,62,41,log2,20,gini,0.349951398915431,0.40192817715495005,0.13592788105305256,0.0
best,65,2,1,sqrt,6,entropy,0.2710473250710483,0.35006475723914904,0.08648364861288209,0.003412969283276451
best,193,92,21,sqrt,22,entropy,0.3963353525653788,0.43442969530407427,0.1662533911263993,0.020757870759384355
best,129,22,81,log2,18,entropy,0.3172376572959413,0.38507748194843217,0.1213956790105093,0.0033489618218352315
random,1,82,21,sqrt,24,entropy,0.3854216267913139,0.42806222734802607,0.15995938953622435,0.013315536784673595
best,129,82,21,sqrt,24,gini,0.39329481197410066,0.4353791338586655,0.1703155000319404,0.023942477770508796
random,129,92,61,sqrt,16,gini,0.3690966680592071,0.4126287284669874,0.13906037625648,0.0
random,129,42,81,log2,14,entropy,0.33019601799219195,0.3926848510603767,0.12623442965564455,0.0
random,193,22,91,sqrt,2,gini,0.11946860855628451,0.21657072758407095,0.0,0.0
best,193,72,71,log2,30,gini,0.32687917516690435,0.3858981462733053,0.11604881863053014,0.0
best,129,2,31,log2,20,gini,0.3388961628132064,0.3984915803113896,0.130895785399351,0.0015917102952325974
best,193,12,11,sqrt,10,gini,0.35354105668249197,0.39693738640941695,0.12848560104843407,0.008574774859379233
best,1,2,21,sqrt,6,gini,0.26679787045609343,0.3309949995451708,0.08380320526718299,0.0
random,65,52,31,sqrt,8,entropy,0.3084146428919658,0.37365111132381107,0.12411512682041898,0.0020463847203274215
best,129,12,71,log2,24,gini,0.3390897307247942,0.39782236534559007,0.13042379754320949,0.0
random,1,42,51,log2,4,entropy,0.09843252479324645,0.2387783305776027,0.0,0.0
random,1,72,51,sqrt,22,entropy,0.3728281539754968,0.4194930856768108,0.1501430495220167,0.0011349449551696742
best,129,52,71,log2,12,gini,0.2940434203571947,0.3688026107811,0.10518799447459042,0.0
best,1,32,11,log2,24,entropy,0.3576291554882339,0.41528097621403076,0.15786161822077763,0.024024416277156322
best,65,72,81,log2,30,gini,0.3318926148389552,0.3910264556299666,0.12211616146401104,0.005630630630630631
random,129,82,1,log2,10,entropy,0.2617188005486412,0.34972899596048346,0.104544001461556,0.007211790409831334
random,65,52,61,sqrt,14,gini,0.3682872465823524,0.4160844290028356,0.14937074109072154,0.011815618544960457
best,129,52,61,sqrt,10,gini,0.33065948311556737,0.39224056507762456,0.12671778607364823,0.011430664954180872
random,129,12,81,sqrt,4,entropy,0.2515207857754275,0.34460414776722187,0.07744924106012012,0.0
best,193,2,31,sqrt,24,entropy,0.3933773305609056,0.4308365621952597,0.15980678433613688,0.017977079963688827
random,65,82,91,sqrt,24,entropy,0.37198459544446183,0.4162844786836121,0.14332593512210887,0.0
best,65,2,61,log2,26,gini,0.34749610090628485,0.39926443022048413,0.1270267357974079,0.002722940776038121
best,193,2,21,log2,6,gini,0.2314074385273419,0.3137521572603639,0.0650262351048132,0.0
best,65,62,21,log2,20,gini,0.34891189949262963,0.4038846953126889,0.14097181233112663,0.01931075604770913
best,193,42,91,sqrt,8,gini,0.33637262719841593,0.37803657813465924,0.10963704736600373,0.0
best,193,72,91,log2,18,entropy,0.3143072125750134,0.3752637869053646,0.10534727977551732,0.0
random,129,82,21,log2,,gini,0.36448367065936754,0.4185371702098848,0.1558672233234741,0.02051967213441426
random,1,32,11,sqrt,18,entropy,0.3758647302579939,0.43031011701400335,0.17655396951540803,0.04223481539187327
random,193,92,81,log2,14,gini,0.3064524363080862,0.3692506420135088,0.10647061493662509,0.0
best,129,62,1,log2,30,entropy,0.363659654312625,0.42558198460087543,0.17414310529521726,0.04614915450819651
random,1,72,71,log2,20,entropy,0.33129956146808853,0.38976661858533074,0.12103989526365622,0.0
best,65,12,71,sqrt,2,gini,0.0668218940652364,0.2331979410020466,0.0,0.0
best,1,92,11,log2,16,entropy,0.3345970562085708,0.4010771609727848,0.15121514190414956,0.012017098812658217
best,129,2,81,log2,24,entropy,0.3176319097418416,0.38499445612620264,0.11871914263368205,0.0
best,1,32,71,sqrt,20,entropy,0.3797199377032378,0.4202601318094324,0.1475418870263275,0.004259134723156244
best,1,62,31,sqrt,6,gini,0.2503610242374165,0.3274687873478299,0.07850612560317394,0.0
random,129,52,51,sqrt,10,gini,0.3337116407944225,0.3808174673109308,0.1093455324938221,0.0
random,193,2,51,sqrt,10,entropy,0.2876301484335471,0.3573266952349616,0.10316190160604526,0.007493815259319446
best,65,32,11,sqrt,16,gini,0.3788514124343237,0.4260714418117176,0.16603115317736902,0.028359443481704133
best,65,52,21,sqrt,10,gini,0.3133234223518349,0.37924219358557726,0.1298837224566045,0.0047557520873730665
random,65,62,71,sqrt,8,entropy,0.2897033567907518,0.3551334707812272,0.10739400578225773,0.008311079978413448
random,193,82,1,sqrt,24,entropy,0.3867847496660885,0.4405250808612308,0.18907861390908998,0.06127623958591135
best,193,52,71,log2,6,entropy,0.21865880592022077,0.2936468766063005,0.07506001286299546,0.0
best,193,92,61,sqrt,10,entropy,0.3519163536500512,0.393823211916373,0.12564920116953174,0.008799559048281754
best,65,22,61,sqrt,14,entropy,0.3583341038729557,0.4051639787885084,0.13178400890728054,0.0033886818027787195
best,65,22,81,log2,14,entropy,0.31958224149227416,0.3708706028116046,0.09137197796595554,0.0
random,1,22,41,log2,26,entropy,0.33713548322808845,0.40121783868532357,0.13975689904350438,0.002482509591514331
best,129,42,21,sqrt,20,entropy,0.3873461468137484,0.4286134670369443,0.1600524802854096,0.017569986265278947
best,129,2,91,log2,28,gini,0.33304982691063595,0.39405303893702054,0.1242127663726923,0.0
random,65,2,21,sqrt,12,entropy,0.3405536267630999,0.3965721516677696,0.1326812802571937,0.016604926170304728
random,129,92,71,log2,30,gini,0.33887298513898384,0.40310229782742796,0.14073550032580415,0.006700167504187605
best,193,32,1,log2,26,entropy,0.3522074138226549,0.42267646963951105,0.17961622050456982,0.06020755495729715
best,129,2,91,sqrt,20,gini,0.37269032558117415,0.4173976806830491,0.1464015757064743,0.007485689123734038
best,193,22,91,sqrt,10,entropy,0.3440741027693764,0.3890010757538184,0.11561178412777377,0.0038379049554125746
random,1,52,91,sqrt,24,gini,0.36696925543861236,0.41705694247159775,0.15109035595216938,0.011868459441560578
random,193,32,21,sqrt,30,entropy,0.3913475613787624,0.43429400114139133,0.1696231471877667,0.02724333963280881
random,193,72,1,log2,16,gini,0.33852825708538276,0.4020628092061433,0.1441837954927767,0.019579939063713876
random,65,32,91,sqrt,12,entropy,0.34133560521303813,0.39586473745829215,0.13181203096590513,0.0
random,1,52,51,log2,14,entropy,0.3120950414778525,0.3837882472086827,0.12204476329638232,0.0
random,65,32,81,log2,,gini,0.3338366157004539,0.3960930343460037,0.13061933102862414,0.0
best,193,82,31,sqrt,26,gini,0.39195821109590673,0.4325823806661528,0.1647748017854097,0.020098017762544208
random,1,92,51,log2,26,entropy,0.3227050387199024,0.3880269888687668,0.12363678867909751,0.0
best,65,62,71,sqrt,14,gini,0.35900930080537613,0.4088965278570596,0.1431159062472315,0.004292330283519711
random,65,32,41,log2,16,gini,0.2964914707347686,0.3851527887366064,0.1390263429701505,0.014401660264175853
best,129,82,21,log2,10,gini,0.25438978811404184,0.34638354002664506,0.10114661995331277,0.0015883821193555707
