splitter,random_state,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,MCC,F1,Cust_metric,F1_class_2
random,129,2,51,log2,,entropy,0.3340809145196259,0.3995167084700025,0.13963535452350334,0.0075505218743060175
random,129,72,21,log2,28,entropy,0.3626645441325798,0.41579588293952746,0.15128525837750814,0.01262775720831033
best,65,72,41,log2,30,gini,0.3365965214245195,0.39639520532467926,0.13049727838562972,0.011747709863373425
best,1,52,21,log2,12,gini,0.2944730804758202,0.37671421687603396,0.12836292314643882,0.009841486105583388
random,65,62,91,sqrt,4,gini,0.1761450190880337,0.24047543361837695,0.006246359757753161,0.0
best,129,32,91,sqrt,28,gini,0.3651986721832688,0.41245037943199386,0.14071336175621527,0.0042448614834673815
random,65,92,21,sqrt,8,entropy,0.31290099468155397,0.36444021495767936,0.10487072747794628,0.0036158192090395484
best,193,52,51,sqrt,6,entropy,0.29953256625430275,0.3474013732184196,0.08178524135482275,0.0
best,1,62,91,log2,18,gini,0.3265377284598827,0.3894916352265132,0.12670212877417936,0.0
best,65,92,11,log2,30,entropy,0.35916342501665116,0.4163182270832045,0.1566815644301621,0.026746077214011007
best,1,62,1,log2,30,gini,0.3632740908658558,0.427729004442894,0.180163268078276,0.050123798344089227
best,193,42,71,log2,28,entropy,0.32217595989189646,0.3850321401843296,0.11873010516562865,0.0
random,193,92,81,sqrt,4,entropy,0.14543303678012098,0.24629133687826713,0.048679838553575806,0.0
best,129,2,1,log2,22,gini,0.35248198715982565,0.42108748294507475,0.1783119968749953,0.06911404020055904
random,193,22,21,log2,16,entropy,0.34437324340984626,0.39457747509145813,0.1268949844529597,0.0049525182817853775
best,65,92,91,log2,18,gini,0.31187366929755067,0.3705652391785282,0.09401928080228993,0.0
best,65,52,91,log2,6,entropy,0.2622637933260223,0.317127668908228,0.02214413882662337,0.0
random,193,82,51,log2,2,gini,0.17936777520704505,0.24066313391969277,0.0,0.0
best,65,52,21,log2,6,gini,0.2611318379587571,0.31017404260719417,0.012239976296063671,0.0015976263836585645
random,1,52,71,sqrt,14,gini,0.36126651692446154,0.41162081650458976,0.14243577546509006,0.005152329749103944
best,129,22,61,sqrt,14,entropy,0.3570579504363404,0.40771369782230593,0.1369077618055419,0.0
best,1,92,51,sqrt,24,gini,0.3842619170732126,0.424549330000882,0.15277873491220542,0.010143686785140172
random,65,12,71,log2,30,entropy,0.34650072924101805,0.4001242267805189,0.13168579266106425,0.0033590863285186423
random,65,52,71,sqrt,,entropy,0.37496701203564226,0.4208580899111663,0.15228494483447397,0.005863475371087868
random,1,42,1,log2,2,entropy,0.0356830404053492,0.15662837485854103,0.0,0.0
random,129,42,21,sqrt,,gini,0.38586134218212553,0.4321825059532613,0.16903587027995526,0.024246821383901777
best,193,92,11,sqrt,8,entropy,0.3229255946404659,0.37151542569040746,0.10829974955959128,0.0013651877133105802
best,193,52,1,sqrt,24,entropy,0.39391389280525657,0.44529449229879714,0.1948905623662099,0.06669320197981488
best,1,52,11,log2,24,entropy,0.364678674441689,0.41894855962598637,0.15952704670340265,0.019324213710032432
best,1,2,91,log2,10,gini,0.2404398132487656,0.34611035530640955,0.10768769792719061,0.003163841807909605
random,65,2,91,sqrt,12,entropy,0.34133560521303813,0.39586473745829215,0.13181203096590513,0.0
random,193,52,81,sqrt,,entropy,0.37335275906850524,0.41516973894775483,0.14021611131174852,0.0
random,1,22,91,sqrt,16,gini,0.3574175666068586,0.41091383045343766,0.14521738505681656,0.007345575959933221
random,129,82,71,log2,28,gini,0.33711366666895914,0.4023174946527091,0.14093377913764768,0.009850128129679787
best,1,42,41,sqrt,10,entropy,0.3636046742426939,0.407470540645625,0.13507694504716003,0.006919812035773837
best,65,92,91,sqrt,30,gini,0.38078632905938625,0.41825012484401447,0.14108565361719808,0.0
best,193,12,51,log2,6,gini,0.22977695631265746,0.3106133029374816,0.05924266846214108,0.0
best,129,92,1,sqrt,4,entropy,0.22538106876800934,0.2957626692221021,0.009873849107729833,0.0
best,65,12,41,log2,22,entropy,0.34203023516665637,0.3983518539654356,0.13228290955858013,0.005181930832488453
best,1,22,21,log2,6,entropy,0.22330923274296507,0.3002502566491163,0.06617370155001996,0.0006839945280437756
best,193,12,81,log2,22,entropy,0.31974813029461974,0.38523247209593275,0.11883847354522757,0.0
best,1,92,81,log2,30,gini,0.342264430350612,0.40245246683109603,0.1399305534318553,0.0054145516074450084
random,129,12,51,sqrt,20,entropy,0.370761155521786,0.41950634696261524,0.15303098026385598,0.02130392459739955
random,193,82,31,sqrt,28,gini,0.38211626389681447,0.42636399649734047,0.15874619843457313,0.023789626727158498
best,65,82,91,log2,2,gini,0.018037268402013223,0.18748886272525075,0.0,0.0
best,129,42,71,log2,2,gini,0.05397895123182345,0.2372972347850605,0.0,0.0
best,65,2,21,log2,20,gini,0.33895313072439537,0.39869650637850235,0.13438075322255802,0.014457044183212383
random,1,72,21,sqrt,30,entropy,0.3847712279915662,0.43076847209129615,0.1666219933065596,0.025188351983759804
best,193,12,21,log2,12,entropy,0.28678598489941426,0.35258035760345696,0.09811537661413931,0.0009107468123861568
random,193,82,81,log2,8,gini,0.27157874598175824,0.33666428408022914,0.08374029813631056,0.0
best,65,12,11,sqrt,4,entropy,0.2508740820529295,0.3110617051457985,0.038255336340102634,0.0
best,65,42,11,log2,2,gini,0.018037268402013223,0.18748886272525075,0.0,0.0
random,65,12,81,log2,2,entropy,0.05709460815293868,0.1681445176707239,0.0,0.0
random,65,42,61,sqrt,18,gini,0.37437894847193603,0.41854794190877564,0.14767785024637206,0.002936857562408223
best,65,22,1,sqrt,30,entropy,0.3755678134159946,0.44684123248665847,0.21560511358885273,0.1082033606178397
random,1,52,91,log2,18,gini,0.3099020433320287,0.3859521620639172,0.13139610183501357,0.0
best,65,92,81,sqrt,2,gini,0.0668218940652364,0.2331979410020466,0.0,0.0
random,193,72,11,log2,4,gini,0.17316882579044912,0.25578674910661126,0.01594802066613143,0.0
best,193,52,11,sqrt,22,gini,0.3944345733264742,0.4413196337085144,0.1843771448596052,0.04876654858834071
random,193,72,31,sqrt,16,entropy,0.3517392397130373,0.4118977193428983,0.15450851964974488,0.025263543934123372
best,129,62,81,sqrt,24,gini,0.37386382832101955,0.41652417997920405,0.14324559061051564,0.0
best,65,62,11,log2,,gini,0.3604436955219266,0.4155923411030534,0.1535302666055681,0.021941263902487334
best,65,92,51,log2,28,gini,0.3456050318151071,0.40046801385982916,0.13162052965718435,0.0053872053872053875
random,1,72,41,log2,30,gini,0.34293305605674523,0.40155250458700015,0.1364267556667428,0.0
best,65,82,21,sqrt,10,entropy,0.33375150971315337,0.3912074700324482,0.1293284762542868,0.01022628372497824
best,193,2,61,log2,28,gini,0.34156368210527166,0.39298886665472343,0.11995819721335103,0.0
random,65,92,71,sqrt,26,gini,0.3729650943013329,0.41811016138106377,0.1468444845765253,0.008333807340319278
best,1,82,91,log2,22,gini,0.35339652306024255,0.40887135324354856,0.1425801258579172,0.01142351433279759
random,1,82,71,log2,30,entropy,0.3241513328347139,0.39270803638170654,0.13117916187174192,0.0
random,193,82,31,sqrt,22,entropy,0.3885158047130082,0.4284511275954343,0.1582484500437806,0.017336808173387966
best,193,32,41,sqrt,26,entropy,0.389900706712001,0.4277984673191542,0.15586012510215594,0.008581140006356201
best,193,62,1,log2,18,entropy,0.3355762461375765,0.40259222688893764,0.1520140346710185,0.02946553288260721
best,129,72,11,log2,26,entropy,0.34345404797503515,0.40592320711711904,0.1461426938505808,0.010280400236929797
random,129,72,1,sqrt,30,gini,0.3851214710358903,0.44178580218490104,0.19370126171120702,0.06755599202610303
random,1,22,1,log2,8,gini,0.22628787216309051,0.3088277324749196,0.07244864573513395,0.00022878059940517042
random,193,22,61,log2,12,gini,0.32241025591153777,0.38503347911761576,0.12499969451601205,0.0
random,129,2,41,log2,22,entropy,0.3426971974368431,0.40517803632488114,0.14306405112756135,0.014887372345471559
best,1,52,41,sqrt,26,gini,0.3918470480603505,0.42783406651906786,0.15290239179838036,0.0
best,193,92,31,sqrt,16,gini,0.38422358189613703,0.42237942752309837,0.1524208335914439,0.008219482394757302
random,193,92,61,sqrt,14,gini,0.30601644195279143,0.3821045945779451,0.12610752057748384,0.01753658947380283
random,193,52,61,sqrt,14,entropy,0.35848299607783324,0.407444587474747,0.13723504265079906,0.0
random,193,2,11,sqrt,10,gini,0.22745590826382042,0.3345680788457947,0.09455918159507311,0.020279502279639254
random,193,92,71,log2,4,gini,0.17316882579044912,0.25578674910661126,0.01594802066613143,0.0
random,193,72,1,log2,6,gini,0.2801677036189775,0.3493749481234876,0.10539412868183669,0.0
random,129,22,61,log2,26,gini,0.3486625932622644,0.4024984986948394,0.13234119025083266,0.0
best,129,12,51,log2,20,entropy,0.3234758828242304,0.3843243050297347,0.11636298250626947,0.0
random,65,72,21,log2,20,entropy,0.32619690151206254,0.39583002205293666,0.14111369768455043,0.012755794953429843
best,193,22,11,sqrt,28,gini,0.3906703399100282,0.43964040439721286,0.18409142326418482,0.05222384714215322
best,129,32,11,log2,8,entropy,0.2266894914626727,0.32776068413763754,0.08065545084494771,0.00022823234052265207
best,129,62,91,log2,24,gini,0.32499758221633007,0.3899384721491548,0.12392830248993565,0.0
random,193,92,11,sqrt,2,entropy,0.11946860855628451,0.21657072758407095,0.0,0.0
random,1,2,11,log2,2,gini,0.0356830404053492,0.15662837485854103,0.0,0.0
random,65,12,71,sqrt,,entropy,0.37496701203564226,0.4208580899111663,0.15228494483447397,0.005863475371087868
random,1,32,61,sqrt,14,gini,0.3553940268976919,0.4051696532297295,0.13856319380903365,0.0
best,1,62,31,log2,8,gini,0.1959417064584884,0.3222939540809804,0.10006584398648093,0.002033898305084746
best,1,92,1,log2,2,entropy,0.04601178910593005,0.17552530169661293,0.0,0.0
random,193,32,1,log2,22,gini,0.35897606491693984,0.4214350527993213,0.1737641004117362,0.0505423858202814
random,193,92,11,sqrt,28,gini,0.3844155246481249,0.4343881321815491,0.17596826601570545,0.04442754629338367
random,1,72,71,sqrt,6,entropy,0.23914920590602531,0.3172764914945761,0.07133443958243425,0.0
random,65,22,31,log2,30,gini,0.3526593734008509,0.4079676905024037,0.1409031826333539,0.006124706547334013
random,65,82,91,sqrt,18,entropy,0.36773609336862284,0.41451770679089894,0.14546202528117178,0.013899821934615258
random,193,72,41,log2,,entropy,0.35576629920421704,0.405517553752554,0.1350751393483233,0.0018103643358225842
random,1,82,11,log2,,gini,0.3602861131283812,0.41587098638117115,0.15271977143118806,0.017633120276340734
best,65,52,61,log2,10,gini,0.2736158171574951,0.34710194604074524,0.07745885413505461,0.004979118734391284
best,129,62,81,sqrt,14,gini,0.3440328180841161,0.40103875382012727,0.13556391346625674,0.004047217537942664
best,129,62,31,sqrt,30,entropy,0.38551068202254024,0.4274428907994256,0.15840424002837786,0.008786997918075523
random,129,2,31,log2,8,entropy,0.3188398682685041,0.392949593374587,0.13331708726603816,0.0
best,193,62,81,log2,4,gini,0.19119387037462388,0.2774106652991488,0.06254942687338491,0.0
random,1,72,61,log2,26,gini,0.3445136605876367,0.39751757546673083,0.1270248646314273,0.0
best,1,62,91,log2,28,gini,0.3273863327654479,0.3910284304394698,0.12443038061699174,0.0024850333220377274
random,193,12,61,sqrt,26,entropy,0.37926454117619524,0.4230731718396971,0.15296698310701892,0.01409014298868202
random,193,72,21,sqrt,2,entropy,0.11946860855628451,0.21657072758407095,0.0,0.0
random,193,32,81,sqrt,8,gini,0.1866563154633403,0.30128519940871956,0.06199441684121301,0.0038314176245210726
random,1,12,81,sqrt,20,gini,0.36028448333412655,0.409834612290463,0.14012884772036738,0.0
best,1,12,21,log2,,entropy,0.3610611227624034,0.41653546729902297,0.15481778410918096,0.018799490323412594
random,193,82,61,sqrt,18,entropy,0.3575178892206226,0.41035490870863534,0.14562913486725756,0.012832959774709702
best,65,52,91,log2,10,gini,0.26187158176937525,0.33828671902242974,0.07094598396725933,0.0053745381256298285
random,65,62,11,log2,30,gini,0.3597847363728211,0.41676404406974843,0.15655434030431062,0.01914015642560384
random,1,2,61,log2,12,gini,0.2933509392253771,0.3686975789958102,0.11466041875307771,0.0
best,129,72,21,sqrt,24,entropy,0.3957455321047438,0.4375154633002741,0.17288461263557875,0.03024207843219981
best,193,32,81,log2,12,entropy,0.28223204464704593,0.34971470870278676,0.09902450805059888,0.0
best,193,32,41,sqrt,,gini,0.3938488993300489,0.4289270145631114,0.15522676489185475,0.0086522462562396
random,129,22,71,log2,12,entropy,0.3021641852415373,0.3725555876261904,0.11731779322794893,0.0
random,65,32,41,log2,20,entropy,0.3432188187934337,0.40008992920798986,0.13301342029602345,0.00022807617744326607
random,1,92,81,sqrt,2,entropy,0.057653701497125835,0.24116849237514507,0.0,0.0
best,129,82,61,sqrt,4,gini,0.2254567030822403,0.29596933679495135,0.010220030660192428,0.0
best,65,82,41,sqrt,,gini,0.3919589841407651,0.4282642883272119,0.1551159318141072,0.01581280138638994
random,65,62,21,log2,30,gini,0.3566864257892097,0.4127956295639345,0.15021763888036918,0.016381500412025633
random,129,72,1,log2,8,gini,0.30650755984660516,0.39202614270271074,0.14196593465428667,0.012139340362168695
random,129,52,11,sqrt,26,gini,0.3881900742582924,0.43646115518039946,0.17766864380435923,0.04271152687343977
best,129,2,41,log2,2,gini,0.05397895123182345,0.2372972347850605,0.0,0.0
random,65,82,61,log2,30,entropy,0.3306061928172637,0.39423681622591467,0.1291643212052707,0.0
best,65,32,91,log2,30,gini,0.3172562576295161,0.38239624682522394,0.11464039721979132,0.0
best,193,82,41,log2,,entropy,0.34579306015834704,0.40219389989356874,0.13812875770995311,0.0038314176245210726
best,129,62,71,sqrt,10,entropy,0.3336924039952076,0.3953375730553703,0.1321382604512943,0.0
best,193,42,31,sqrt,6,entropy,0.27690585770355264,0.332568577736517,0.06803417194446032,0.0
random,1,32,11,log2,4,gini,0.07760513405088784,0.24643258211826188,0.01586532728956189,0.0
best,129,72,61,sqrt,28,entropy,0.3782402713211919,0.42282330671944984,0.15393533795921444,0.00925643779828355
random,193,2,11,log2,,entropy,0.3655644489294823,0.422320256251482,0.16603506010726007,0.03294502226211218
best,193,52,81,sqrt,26,entropy,0.3826523443833147,0.42040168336319156,0.14598580916089798,0.006103074764850632
best,193,92,51,log2,28,entropy,0.3368892894866216,0.3960516882463896,0.13031234609666942,0.0
best,1,32,81,sqrt,20,entropy,0.3823398202387401,0.4184596073931785,0.1417679646654683,0.0
random,129,12,91,log2,8,entropy,0.2861809323258923,0.3744434472989094,0.12810303920365693,0.0
best,193,2,21,log2,8,entropy,0.23263687208063497,0.3124343579499333,0.07282280796882576,0.0
random,193,52,31,log2,4,entropy,0.17316882579044912,0.25578674910661126,0.01594802066613143,0.0
random,1,22,51,log2,6,entropy,0.13992674587460066,0.2953088870818791,0.08477818401510241,0.0
best,129,42,91,log2,20,gini,0.32104478460090685,0.38397991362089473,0.1155855411765237,0.0
random,1,12,31,sqrt,26,gini,0.37959786800055256,0.4242895951417566,0.15590332506710985,0.00945663910283477
best,1,62,71,log2,20,gini,0.33970686597758265,0.3985647694686782,0.13194428953337703,0.00622637313764732
best,129,12,41,sqrt,22,gini,0.38208761458539886,0.4260163449246733,0.15868364571013172,0.012374509392234792
random,65,62,31,log2,18,entropy,0.33015904096662085,0.394334805143437,0.1331593768396707,0.0020474103656743805
best,1,72,41,log2,20,entropy,0.3398925467087781,0.40188218445169527,0.14270980327200697,0.010000110264723097
random,1,82,31,sqrt,24,entropy,0.38531162694884274,0.42991703303339895,0.16468726709082648,0.02186851981254037
best,129,72,51,log2,6,entropy,0.23433784929123735,0.32718078488501984,0.06755704263302383,0.0
best,65,32,1,log2,8,gini,0.2823538142652802,0.3348281605237517,0.058753294202018656,0.0015894995755964883
random,1,22,11,log2,28,entropy,0.34344032296469534,0.40755303930981235,0.15038131411056188,0.01932888556929478
random,193,82,11,sqrt,14,gini,0.30474985220224743,0.3793144624075205,0.13136782969617597,0.029721749835482647
best,129,32,81,sqrt,20,gini,0.3656329725247396,0.4145088907705284,0.14553888204678458,0.0053745381256298285
best,193,12,1,log2,4,gini,0.19118636177353476,0.2774096734950211,0.06255769019022676,0.0
random,193,12,21,sqrt,26,gini,0.3842577921431983,0.43177303128409744,0.17003788975484954,0.03220573084757287
random,65,72,1,sqrt,8,gini,0.31221552686479814,0.3689072672686245,0.11761750680147376,0.0027149361121966524
best,129,42,51,log2,,entropy,0.3338169519845717,0.3941469539997875,0.1272686956284623,0.0031531531531531535
random,193,22,1,log2,30,gini,0.35998899962783515,0.43026147843583057,0.19237989828388324,0.07268573379125357
random,1,82,21,log2,24,entropy,0.34999982235680466,0.4079414983458083,0.14320521416658158,0.011000784300150494
random,129,22,1,sqrt,4,gini,0.25153048388648064,0.34460283848611994,0.07744924106012012,0.0
random,1,72,91,sqrt,6,entropy,0.22783567661329207,0.2947408851434247,0.03128299876903615,0.0
best,193,42,41,log2,18,gini,0.32391246637774423,0.3876761672539104,0.12485704756679857,0.008107045405606587
best,129,52,91,sqrt,28,entropy,0.3648765992188305,0.41113513203463686,0.13715929361517307,0.0
best,65,22,31,sqrt,24,entropy,0.392726526287483,0.4338473510873735,0.1682799986651741,0.021930419141338392
random,193,82,71,log2,8,gini,0.26940447093660885,0.33373202160723897,0.07797257802147434,0.0
random,65,32,91,log2,12,gini,0.28408516728388317,0.36244343077954655,0.10295252435166809,0.0
best,129,32,51,sqrt,,entropy,0.3817021671522845,0.4242159258643265,0.15414011081320692,0.009577958348964018
best,65,22,41,sqrt,30,gini,0.38627124706652854,0.4242359495154456,0.1500810735723335,0.008736332163119398
best,65,22,61,log2,6,gini,0.2692088709154142,0.3268807760234144,0.0399230212135104,0.00980616476962508
best,193,62,91,log2,6,gini,0.1947499592244291,0.29369630483606013,0.06728942449887623,0.0
random,193,12,21,sqrt,2,entropy,0.11946860855628451,0.21657072758407095,0.0,0.0
best,1,62,31,log2,2,entropy,0.04601178910593005,0.17552530169661293,0.0,0.0
random,129,22,41,log2,26,entropy,0.3491109333936746,0.4081003736184264,0.14751269881269843,0.01869899199340604
random,65,42,71,sqrt,10,entropy,0.3141521494455572,0.3789352801799913,0.1265431986137059,0.0
random,129,72,21,log2,4,gini,0.12731369490208974,0.244973767729467,0.035610074005161224,0.0
best,1,62,1,sqrt,18,entropy,0.38970316098411417,0.4385926918885253,0.183798846663877,0.05815304586481813
best,1,62,31,sqrt,20,entropy,0.39295557107740225,0.4302205477638996,0.15980294264543146,0.014503667799752117
best,129,32,91,log2,10,entropy,0.29850553974867017,0.3577585822497795,0.09062152475691437,0.0
best,1,72,41,log2,2,entropy,0.04601178910593005,0.17552530169661293,0.0,0.0
best,193,2,21,sqrt,6,gini,0.27906687094367727,0.33906767129526,0.07626692970274092,0.0
best,65,32,1,sqrt,10,gini,0.32504719665874676,0.38260929654119163,0.1215965506709974,0.014857431422327927
best,1,32,61,log2,14,gini,0.3264782460558915,0.3881787620023445,0.128408826873183,0.004513653802753329
random,129,2,1,log2,14,gini,0.30847051756157035,0.3868407115641877,0.1341634613573154,0.03066110821661445
random,1,42,41,sqrt,24,entropy,0.38334628214640937,0.4274342458483249,0.16086378283938188,0.01855686616899312
best,129,32,71,log2,12,entropy,0.3069775440724566,0.3690671684673248,0.1020340742616088,0.0
best,65,62,11,log2,22,gini,0.35888990220865896,0.41017702684471696,0.14333783910504072,0.016824787574668827
random,65,72,11,sqrt,10,gini,0.33616480282502303,0.38324340578970273,0.11957492110393701,0.0029475004392517288
