colsample_bytree,gamma,learning_rate,max_depth,min_child_weight,n_estimators,subsample,score
0.5,0,0.2,4,5,50,1.0,0.7775174108270638
0.5,0,0.2,4,5,100,0.5,0.7826500864056891
0.5,0,0.2,4,5,100,0.7,0.7835777795812593
0.5,0,0.2,4,5,100,1.0,0.7823843949297079
0.5,0,0.2,4,5,200,0.5,0.7862325052688751
0.5,0,0.2,4,5,200,0.7,0.786502199180215
0.5,0,0.2,4,5,200,1.0,0.7871581565905812
0.5,0,0.2,4,10,50,0.5,0.777912464261537
0.5,0,0.2,4,10,50,0.7,0.7777948450694264
0.5,0,0.2,4,10,50,1.0,0.7775890125420671
0.5,0,0.2,4,10,100,0.5,0.7824617663450799
0.5,0,0.2,4,10,100,0.7,0.7832371768452607
0.5,0,0.2,4,10,100,1.0,0.7826024675856526
0.5,0,0.2,4,10,200,0.5,0.7864514774533431
0.5,0,0.2,4,10,200,0.7,0.7864141066887326
0.5,0,0.2,4,10,200,1.0,0.7865795435930371
0.5,0,0.2,8,1,50,0.5,0.7838293112172471
0.5,0,0.2,8,1,50,0.7,0.7852586333708899
0.5,0,0.2,8,1,50,1.0,0.7864565713428161
0.5,0,0.2,8,1,100,0.5,0.7855989617007327
0.5,0,0.2,8,1,100,0.7,0.7874913917627215
0.5,0,0.2,8,1,100,1.0,0.7885567488338981
0.5,0,0.2,8,1,200,0.5,0.7828223285179883
0.5,0,0.2,8,1,200,0.7,0.7861640087580796
0.5,0,0.2,8,1,200,1.0,0.7872466070531624
0.5,0,0.2,8,5,50,0.5,0.7852059454737503
0.5,0,0.2,8,5,50,0.7,0.7854641990833496
0.5,0,0.2,8,5,50,1.0,0.7865835904465647
0.5,0,0.2,8,5,100,0.5,0.785962799100489
0.5,0,0.2,8,5,100,0.7,0.7872209643250478
0.5,0,0.2,8,5,100,1.0,0.7881464749691229
0.5,0,0.2,8,5,200,0.5,0.7845642447226125
0.5,0,0.2,8,5,200,0.7,0.7865489587868919
0.5,0,0.2,8,5,200,1.0,0.7877717449570386
0.5,0,0.2,8,10,50,0.5,0.7849711276409336
0.5,0,0.2,8,10,50,0.7,0.7854165211975451
0.5,0,0.2,8,10,50,1.0,0.786316368039771
0.5,0,0.2,8,10,100,0.5,0.7866491263752046
0.5,0,0.2,8,10,100,0.7,0.7877166410013384
0.5,0,0.2,8,10,100,1.0,0.7881789960640065
0.5,0,0.2,8,10,200,0.5,0.7856717406129058
0.5,0,0.2,8,10,200,0.7,0.7866562252856858
0.5,0,0.2,8,10,200,1.0,0.7881890440790834
0.5,0,0.2,16,1,50,0.5,0.7811124771461303
0.5,0,0.2,16,1,50,0.7,0.7817923952090085
0.5,0,0.2,16,1,50,1.0,0.7844057068155488
0.5,0,0.2,16,1,100,0.5,0.7766621523257947
0.5,0,0.2,16,1,100,0.7,0.779253768145893
0.5,0,0.2,16,1,100,1.0,0.7830651127346648
0.5,0,0.2,16,1,200,0.5,0.7714900206295905
0.5,0,0.2,16,1,200,0.7,0.7736058628996384
0.5,0,0.2,16,1,200,1.0,0.7797646052394981
0.5,0,0.2,16,5,50,0.5,0.783707454932097
0.5,0,0.2,16,5,50,0.7,0.7850657539246434
0.5,0,0.2,16,5,50,1.0,0.7862313050382888
0.5,0,0.2,16,5,100,0.5,0.7790556756345063
0.5,0,0.2,16,5,100,0.7,0.7814568536344045
0.5,0,0.2,16,5,100,1.0,0.7850458953354539
0.5,0,0.2,16,5,200,0.5,0.7731357227115643
0.5,0,0.2,16,5,200,0.7,0.7770132264990449
0.5,0,0.2,16,5,200,1.0,0.7807346174355217
0.5,0,0.2,16,10,50,0.5,0.7851396961893572
0.5,0,0.2,16,10,50,0.7,0.7859046230892884
0.5,0,0.2,16,10,50,1.0,0.7872653028573889
0.5,0,0.2,16,10,100,0.5,0.7833393950632651
0.5,0,0.2,16,10,100,0.7,0.7844265711600268
0.5,0,0.2,16,10,100,1.0,0.7851870023605588
0.5,0,0.2,16,10,200,0.5,0.7774879400478328
0.5,0,0.2,16,10,200,0.7,0.7785256930622753
0.5,0,0.2,16,10,200,1.0,0.7810621942964057
0.5,0,0.2,32,1,50,0.5,0.772805888830795
0.5,0,0.2,32,1,50,0.7,0.7753845393048647
0.5,0,0.2,32,1,50,1.0,0.7777526622886662
0.5,0,0.2,32,1,100,0.5,0.7693401545291044
0.5,0,0.2,32,1,100,0.7,0.7729047311078928
0.5,0,0.2,32,1,100,1.0,0.7767246360235042
0.5,0,0.2,32,1,200,0.5,0.7673715316050925
0.5,0,0.2,32,1,200,0.7,0.7716793346011097
0.5,0,0.2,32,1,200,1.0,0.775055263041965
0.5,0,0.2,32,5,50,0.5,0.7786165977465606
0.5,0,0.2,32,5,50,0.7,0.7798669513189455
0.5,0,0.2,32,5,50,1.0,0.781439161707376
0.5,0,0.2,32,5,100,0.5,0.7734393644900935
0.5,0,0.2,32,5,100,0.7,0.7754972935989506
0.5,0,0.2,32,5,100,1.0,0.7774442456305334
0.5,0,0.2,32,5,200,0.5,0.7661553475269374
0.5,0,0.2,32,5,200,0.7,0.7702330561718619
0.5,0,0.2,32,5,200,1.0,0.7738674360265412
0.5,0,0.2,32,10,50,0.5,0.7822817274164215
0.5,0,0.2,32,10,50,0.7,0.7828615230798252
0.5,0,0.2,32,10,50,1.0,0.7831097525501707
0.5,0,0.2,32,10,100,0.5,0.7771795364840778
0.5,0,0.2,32,10,100,0.7,0.7796728261641106
0.5,0,0.2,32,10,100,1.0,0.779691466036376
0.5,0,0.2,32,10,200,0.5,0.769883440026036
0.5,0,0.2,32,10,200,0.7,0.7729035058143805
0.5,0,0.2,32,10,200,1.0,0.7754015815985266
0.5,0,0.2,64,1,50,0.5,0.7710474455209985
0.5,0,0.2,64,1,50,0.7,0.7741488828572892
0.5,0,0.2,64,1,50,1.0,0.777014998330268
0.5,0,0.2,64,1,100,0.5,0.7686813999765881
0.5,0,0.2,64,1,100,0.7,0.7733171751293817
0.5,0,0.2,64,1,100,1.0,0.7759533183499533
0.5,0,0.2,64,1,200,0.5,0.7685990892872022
0.5,0,0.2,64,1,200,0.7,0.7720355894077212
0.5,0,0.2,64,1,200,1.0,0.7747901749849352
0.5,0,0.2,64,5,50,0.5,0.7782326261285561
0.5,0,0.2,64,5,50,0.7,0.77742473037924
0.5,0,0.2,64,5,50,1.0,0.7785926519648235
0.5,0,0.2,64,5,100,0.5,0.7721826339092218
0.5,0,0.2,64,5,100,0.7,0.7726037408286177
